Unnamed: 0.1,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status,Launchpad,Launch Complex,State,Country,Year,Month,Day,Rocket Name/Model,Payloads
1470,1470,CASC,StatusRetired,,Success,LC-2,Xichang Satellite Launch Center,,China,1995,12,28,Long March 2E,EchoStar 1
1471,1471,VKS RF,StatusRetired,,Success,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,1995,12,28,Molniya-M /Block 2BL,IRS-1C & Skipper
1472,1472,VKS RF,StatusRetired,,Success,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,1995,12,20,Tsyklon-2,Cosmos 2326
1473,1473,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,12,15,Atlas IIA,Galaxy 3R
1474,1474,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,12,6,Ariane 44L,"Telecom 2C, Insat 2C"
1475,1475,Lockheed,StatusRetired,,Success,SLC-4E,Vandenberg AFB,California,USA,1995,12,5,Titan IV(404)A,KH-11 Kennen
1476,1476,Lockheed,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1995,12,2,Atlas IIAS,SOHO
1477,1477,CASC,StatusRetired,,Success,LC-2,Xichang Satellite Launch Center,,China,1995,11,28,Long March 2E,AsiaSat 2
1478,1478,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,11,17,Ariane 44P,Infrared Space Observatory
1479,1479,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1995,11,12,Space Shuttle Atlantis,STS-74
1480,1480,Lockheed,StatusRetired,,Success,SLC-40,Cape Canaveral AFS,Florida,USA,1995,11,6,Titan IV(401)A,Milstar DFS-2
1481,1481,Boeing,StatusRetired,,Success,SLC-2W,Vandenberg AFB,California,USA,1995,11,4,Delta II 7920-10,RADARSAT-1 and SURFSAT
1482,1482,VKS RF,StatusRetired,,Success,Site 45/1,Baikonur Cosmodrome,,Kazakhstan,1995,10,31,Zenit-2,Cosmos 2322
1483,1483,EER,StatusRetired,20.0,Failure,LP-0A,Wallops Flight Facility,Virginia,USA,1995,10,23,Conestoga-1620,METEOR
1484,1484,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,10,22,Atlas II,USA-114 (UHF F6)
1485,1485,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1995,10,20,Space Shuttle Columbia,STS-73
1486,1486,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,10,19,Ariane 42L,Astra 1E
1487,1487,VKS RF,StatusRetired,,Partial Failure,Site 132/1,Plesetsk Cosmodrome,,Russia,1995,10,6,Cosmos-3M (11K65M),Cosmos 2321
1488,1488,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,9,24,Ariane 42L,Telstar 402R
1489,1489,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1995,9,7,Space Shuttle Endeavour,STS-69
1490,1490,Boeing,StatusRetired,,Partial Failure,SLC-17B,Cape Canaveral AFS,Florida,USA,1995,9,5,Delta II 7925,Koreasat 1
1491,1491,VKS RF,StatusRetired,,Success,Site 32/2,Plesetsk Cosmodrome,,Russia,1995,8,31,Tsyklon-3,Sich 1 & FASat Alfa
1492,1492,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,8,29,Ariane 42P,N-Star A
1493,1493,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1995,8,29,Atlas IIAS,JCSAT-3
1494,1494,Lockheed,StatusRetired,,Failure,SLC-6,Vandenberg AFB,California,USA,1995,8,15,Athena I,GemStar 1
1495,1495,VKS RF,StatusRetired,,Success,Site 43/3,Plesetsk Cosmodrome,,Russia,1995,8,9,Molniya-M /Block ML,Molniya-3 n†­163
1496,1496,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,8,3,Ariane 42L,Panamsat-4
1497,1497,RVSN USSR,StatusRetired,,Success,Site 43/3,Plesetsk Cosmodrome,,Russia,1995,8,2,Molniya-M /Block SO-L,Interbol 1 & Magion 4
1498,1498,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,7,31,Atlas IIA,USA-113 (DSCS IIIB-7)
1499,1499,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1995,7,13,Space Shuttle Discovery,STS-70
1500,1500,Lockheed,StatusRetired,,Success,SLC-41,Cape Canaveral AFS,Florida,USA,1995,7,10,Titan IV(401)A,Trumpet
1501,1501,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,7,7,Ariane 40,"Helios 1A, Cerise, LBSAT-1"
1502,1502,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1995,7,5,Cosmos-3M (11K65M),Cosmos 2315
1503,1503,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1995,6,27,Space Shuttle Atlantis,STS-71
1504,1504,Northrop,StatusActive,40.0,Failure,Stargazer,Vandenberg AFB,California,USA,1995,6,22,Pegasus XL,STEP-3
1505,1505,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,6,10,Ariane 42P,DBS-3
1506,1506,VKS RF,StatusRetired,,Success,Site 90/20,Baikonur Cosmodrome,,Kazakhstan,1995,6,8,Tsyklon-2,Cosmos 2313
1507,1507,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,5,31,Atlas II,USA-111 (UHF F5)
1508,1508,VKS RF,StatusRetired,,Success,Site 16/2,Plesetsk Cosmodrome,,Russia,1995,5,24,Molniya-M /Block 2BL,Cosmos 2312
1509,1509,Lockheed,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1995,5,23,Atlas I,GOES-J
1510,1510,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,5,17,Ariane 44LP,Intelsat 706
1511,1511,Lockheed,StatusRetired,,Success,SLC-40,Cape Canaveral AFS,Florida,USA,1995,5,14,Titan IV(401)A,Mentor
1512,1512,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,4,21,Ariane 40,ERS-2
1513,1513,ILS,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,4,7,Atlas IIA,AMSC-1
1514,1514,IAI,StatusRetired,,Success,Pad 1,Palmachim Airbase,,Israel,1995,4,5,Shavit,Ofek-3
1515,1515,Northrop,StatusRetired,40.0,Success,Stargazer,Vandenberg AFB,California,USA,1995,4,3,Pegasus,Orbcomm F1 and F2 & OrbView-1
1516,1516,Arianespace,StatusRetired,,Success,ELA-2,Guiana Space Centre,French Guiana,France,1995,3,28,Ariane 44LP,"Brasilsat B2, Hot Bird 1"
1517,1517,MITT,StatusRetired,,Failure,Site 158,Plesetsk Cosmodrome,,Russia,1995,3,28,Start,"EKA-2, Gurwin & UNAMSAT A"
1518,1518,General Dynamics,StatusRetired,,Success,SLC-3W,Vandenberg AFB,California,USA,1995,3,24,Atlas-E/F Star-37S-ISS,DMSP F-13
1519,1519,ILS,StatusRetired,,Success,SLC-36B,Cape Canaveral AFS,Florida,USA,1995,3,22,Atlas IIAS,Intelsat 705
1520,1520,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1995,3,22,Cosmos-3M (11K65M),Cosmos 2310
1521,1521,MHI,StatusRetired,,Success,LA-Y1,Tanegashima Space Center,,Japan,1995,3,18,H-II,Himawari 5 & SFU 1
1522,1522,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1995,3,2,Cosmos-3M (11K65M),Cosmos 2306
1523,1523,NASA,StatusRetired,450.0,Success,LC-39A,Kennedy Space Center,Florida,USA,1995,3,2,Space Shuttle Endeavour,STS-67
1524,1524,NASA,StatusRetired,450.0,Success,LC-39B,Kennedy Space Center,Florida,USA,1995,2,3,Space Shuttle Discovery,STS-63
1525,1525,Lockheed,StatusRetired,,Success,SLC-36A,Cape Canaveral AFS,Florida,USA,1995,1,29,Atlas II,USA-108 (UHF F4)
1526,1526,CASC,StatusRetired,,Failure,LC-2,Xichang Satellite Launch Center,,China,1995,1,25,Long March 2E,Apstar 2
1527,1527,VKS RF,StatusRetired,,Success,Site 132/1,Plesetsk Cosmodrome,,Russia,1995,1,24,Cosmos-3M (11K65M),"Tsikada 1, Faisat 1 & Astrid 1"
